SKU,Merchant Item ID,Product Name,Description,Short Description,Status,Stock,Tax Rate,Regular Price,Sale Price,Weight (Kgs),Brand,Category,Sub Category Lvl 1,Sub Category Lvl 2,Sub Category Lvl 3,Sub Category Lvl 4,Sub Category Lvl 5,Sub Category Lvl 6,Images,Features 1,Features 2,Features 3,Features 4
1,1,Cereal Dispenser,,,Publish,10,0,0,0,0,Johar Traders,Uncategorized,,,,,,,,,,,
2,2,Barrel Pump,,,Publish,10,0,0,0,0,Johar Traders,Uncategorized,,,,,,,https://new.johartraders.in/wp-content/uploads/2023/06/EECEDHD2B4-20200913-133310.jpg,,,,
3,3,Herb Grinder Machine,"<b>Masala Herbs Grinder</b> will grind raw spices instantly and provide a smooth powder of masala and herbs. You can grind all kind of dry masala items, coffee beans and also rice and wheat.  Its compact size helps to keep it any small place in the kitchen","<b>Masala Herbs Grinder</b> will grind raw spices instantly and provide a smooth powder of masala and herbs. You can grind all kind of dry masala items, coffee beans and also rice and wheat.  Its compact size helps to keep it any small place in the kitchen.
 
 
 
 Available in 3 sizes : 1/2kg , 1kg, 2kg Bowl Capacity .",Publish,10,0,0,0,0,Johar Traders,Mixie Machine,,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Herb-Grinder-1.png,https://www.johartraders.in/wp-content/uploads/2023/07/Herb-Grinder-2.png",,,,
4,4,Powder Grinding Machine,,"<div class=""sr-txt-title"">
 
 <h2 class=""sr-txt-h2"">Product Description</h2>
 
 </div>
 
 <div class=""async-rich-info"">
 
 <div class=""rich-text cf""><strong>The main purpose:</strong>
 
 This grinder is popular in homes, commercial use.<strong>Application</strong>
 
 Various grains: sesame, walnut, rice, black rice, soy, mung bean, peanut,lotus seed, corn, broomcorn, barley, buckwheat, oat, etc.
 
 Various dry herbs: almond, poria cocos, red dates, semen euryales, Lycium barbarum, Coix seed, hawthorn, Chinese yam, fleece-flower root,red bean, frankincense, semen cuscutae, Angelica sinensis, Codonopsis pilosula, Astragalus membranaceus, etc.
 
 Suitable for market, store, pharmaceutical processing plant, hospital, clinics, etc.<strong>working principle:</strong>
 
 This machine use activities and the tooth plate relative motion between the fixed tooth plate, the material through the tooth plate impact, friction, shear, impact each other and get crushed material.
 
 
 
 </div>
 
 </div>",Publish,10,0,0,0,0,Johar Traders,Grinding & Pulverizers Machine,,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Powder-Grinder-Machine-1.jpg,https://www.johartraders.in/wp-content/uploads/2023/07/Powder-Grinder-Machine-1-1.jpg",,,,
5,5,Vibro Shifter Machine,"<b>Vibro Shifter</b> is a set of extremely effective circulatory screening machines, which is used for testing of shades or fluids in a number of sectors. These products are useful in rating of content according to their compound size and are used splitting huge structure of solid and fluid. This ranger is set up with exclusively engineered engine, which is set up top to bottom at the center of the platform dish of the display. The display is fixed between the providing hopper and the package.","<h3 class=""fs18 mt30 mb10 color"">Product Description</h3>
 
 <div class=""pdest1"">
 
 <div class=""fs16 lh28 pdpCtsr""><b>Vibro Shifter</b> is a set of extremely effective circulatory screening machines, which is used for testing of shades or fluids in a number of sectors. These products are useful in rating of content according to their compound size and are used splitting huge structure of solid and fluid. This ranger is set up with exclusively engineered engine, which is set up top to bottom at the center of the platform dish of the display. The display is fixed between the providing hopper and the package.
 
 <table width=""440"">
 
 <tbody>
 
 <tr>
 
 <td width=""60%""><b>Features :</b>
 
 <ul>
 
   <li>Optimum performance</li>
 
   <li>Corrosion &amp; abrasion resistance</li>
 
   <li>Robust construction</li>
 
   <li>Enhanced functional efficiency</li>
 
   <li>Extreme durability</li>
 
 </ul>
 
 </td>
 
 <td><b>Applications :</b>
 
 <ul>
 
   <li>Petrochemical industry</li>
 
   <li>Steel industry</li>
 
   <li>Dairy industry</li>
 
   <li>Pharmaceutical industry</li>
 
   <li>Ceramics industry</li>
 
   <li>Mining industry</li>
 
   <li>Chemical industry</li>
 
   <li>Textile industry</li>
 
   <li>Glass industry</li>
 
 </ul>
 
 </td>
 
 </tr>
 
 </tbody>
 
 </table>
 
 </div>
 
 </div>",Publish,10,0,0,0,0,Johar Traders,Chalna Machines,,,,,,,https://www.johartraders.in/wp-content/uploads/2023/07/Vibro-Shifter.jpg,,,,
6,6,Pani Puri / Papad Making Machine,"We are offering <b>Automatic Pani Puri Making Machine</b>. We design, fabricate and offer an extensive array of processing machines that is made using high-quality raw materials and precision made parts. Widely applicable in the food industry, these processing machines are known for their efficiency and cost-effective rates. These machines are available to have a sturdy and compact design.","<b>Features:</b>
 
 <ul>
 
   <li>Automatic raw pani puri making machine dough just needs to be fed into the hopper and at the outlet one gets raw pani puri.</li>
 
   <li>Apart from this no oil is required.</li>
 
   <li>Thus, these machines offer oil free, hygienic pani puri at economical prices.</li>
 
   <li>One set of TEFLON coated roll with thickness setting arrangement, flour sprinkling arrangement, and one number dies roll, endless PVC food grade belt is mounted on stainless steel covered fabricated angle stand.</li>
 
   <li>This machine is able to produce 7,000 to 8,000 panipuri per hour depends on the diameter of panipuri.</li>
 
 </ul>",Publish,10,0,,0,0,Johar Traders,Namkeen/ Noodle/Sewai Processing,,,,,,,https://www.johartraders.in/wp-content/uploads/2023/07/Puchka-Machine.jpg,,,,
7,7,Bonesaw Machine,"Bone saw cutting machine is a saw cutter mainly used for cutting bones or meat with bones or frozen meat or big fish. This bone saw cutting machine is electric motor powered with saw blade tightness adjusting device, cutting size adjusting plate and detachable saw blade wheel for convenient cleaning. It’s also called as bone saw cutter, bone cutting saw, meat cutting band saw, etc .","<table border=""1"" cellspacing=""0"" cellpadding=""0"">
 
 <tbody>
 
 <tr>
 
 <td><strong>Model</strong></td>
 
 <td><strong>Voltage</strong></td>
 
 <td><strong>Power</strong></td>
 
 <td><strong>Wheel diameter</strong></td>
 
 <td><strong>Food temperature</strong></td>
 
 <td><strong>Saw speed</strong></td>
 
 <td><strong>Cutting thickness</strong></td>
 
 <td><strong>Size of working table</strong></td>
 
 <td><strong>N.W</strong></td>
 
 </tr>
 
 <tr>
 
 <td>HR-210</td>
 
 <td>110-220v</td>
 
 <td>1100w</td>
 
 <td>210mm</td>
 
 <td>-20ºC~2ºC</td>
 
 <td>15m/s</td>
 
 <td>4-180mm</td>
 
 <td>380*416mm</td>
 
 <td>34kg</td>
 
 </tr>
 
 <tr>
 
 <td>HR-250</td>
 
 <td>110-220V</td>
 
 <td>1500W</td>
 
 <td>210mm</td>
 
 <td>-20ºC~2ºC</td>
 
 <td>15m/s</td>
 
 <td>4-180mm</td>
 
 <td>400*436mm</td>
 
 <td>35kgm</td>
 
 </tr>
 
 </tbody>
 
 </table>",Publish,10,0,,0,0,Johar Traders,Bone Saw Machines,,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Bonesaw-Machine-SACO-PRO-2.jpg,https://www.johartraders.in/wp-content/uploads/2023/07/Bonesaw-Machine-SACO-PRO-1.jpg",,,,
8,8,Peanut Butter Machine,,"<h1 class=""a-size-base-plus a-text-bold"">About this item</h1>
 
 <ul class=""a-unordered-list a-vertical a-spacing-mini"">
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">High Power The machine adopts high-quality all-copper high-power motor, the motor power is up to 1100W. The powerful 1.5-horsepower air-cooled motor drives the grinding wheel to achieve high-speed rotation and can effectively dissipate heat, so the peanut butter making machine will not overheat under stable use</span></li>
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">Premium Material The whole body is made of stainless steel and aluminum, compact structure, easy to operate and clean, and easy to maintain. It is very suitable for grinding and making peanut butter grinders for high-viscosity materials and larger particles</span></li>
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">Warm Tips All raw materials must not contain moisture, sand and other debris need to be removed, roasted and dried before grinding. Low-temperature grinding can preserve the nutrition and flavor of the food, but the temperature should not be too low</span></li>
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">Widely Application Suitable for grinding peanut butter, tahini butter, almond butter, cashew butter, pecan butter, macadamia nut butter, hazelnut butter, pistachio butter, cocoa butter. It can also be made into hot pot or other product seasonings. It has good abrasion resistance and corrosion resistance, so the processed materials will not be contaminated</span></li>
 
 </ul>
 
 <table id=""productDetails_techSpec_section_1"" class=""a-keyvalue prodDetTable"" role=""presentation"">
 
 <tbody>
 
 <tr>
 
 <th class=""a-color-secondary a-size-base prodDetSectionEntry"">Brand</th>
 
 <td class=""a-size-base prodDetAttrValue"">‎SACO PRO</td>
 
 </tr>
 
 <tr>
 
 <th class=""a-color-secondary a-size-base prodDetSectionEntry"">Product Dimensions</th>
 
 <td class=""a-size-base prodDetAttrValue"">‎33 x 33 x 70 cm; 26 Kilograms</td>
 
 </tr>
 
 <tr>
 
 <th class=""a-color-secondary a-size-base prodDetSectionEntry"">Power / Wattage</th>
 
 <td class=""a-size-base prodDetAttrValue"">‎1100 watts</td>
 
 </tr>
 
 <tr>
 
 <th class=""a-color-secondary a-size-base prodDetSectionEntry"">Item Weight</th>
 
 <td class=""a-size-base prodDetAttrValue"">‎26 Kilograms</td>
 
 </tr>
 
 </tbody>
 
 </table>",Publish,10,0,,0,0,Johar Traders,Pulper Machine,,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Peanut-Butter-Machine-1.png,https://www.johartraders.in/wp-content/uploads/2023/07/Peanut-Butter-Mach-Model-110-SACO-PRO-1.jpg",,,,
9,9,Chicken De-Feathering Top Motor Model,,"Widely used in several poultry farms and meat shops, this <b>Chicken Feather Machine</b> is used for the purpose of the-feathered birds. Manufactured as per the industrial norms, the quality of this product is never compromised. Further we offer this machine to our clients in specifications as per the needs of the clients. Owing to its impeccable quality, smooth functioning and market leading price, it is highly preferred in the market.
 
 
 
 <b>Specifications:</b>
 
 <ul>
 
   <li>Capacity: 3,6,9 Birds</li>
 
   <li>Weight: 30,50,70 Kgs</li>
 
 </ul>
 
 Additional Information:
 
 
 
 &nbsp;
 
 
 
 <b>      Production Capacity: </b>3 Birds
 
 <ul>
 
   <li><b>Delivery Time: </b>2-3 Days</li>
 
   <li><b>Packaging Details: </b>Depends Upon Transportation</li>
 
 </ul>",Publish,10,0,,0,0,Johar Traders,Chicken De-Feathering Machine,,,,,,,https://www.johartraders.in/wp-content/uploads/2023/07/Chicken-De-feather-Top-Motor.jpg,,,,
10,10,Coconut/ Daab Cutter Manual,,"<h1 class=""a-size-base-plus a-text-bold"">About this item</h1>
 
 <ul class=""a-unordered-list a-vertical a-spacing-mini"">
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">Tender coconut cutting tool</span></li>
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">Green tender coconut cutting machine</span></li>
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">Easy to split</span></li>
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">High Quality Stainless Steel Carbon Steel blade </span></li>
 
   <li>Full Stainless Steel Frame</li>
 
   <li class=""a-spacing-mini""><span class=""a-list-item"">Coconut opener .</span></li>
 
 </ul>",Publish,10,0,,0,0,Johar Traders,Vegetable Cutter,,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Coconut-Cutter-.jpg,https://www.johartraders.in/wp-content/uploads/2023/07/Coconut-Cutter-1-.jpg",,,,
